ticket_id,rating
2,4
3,1
4,2
5,3
6,2
7,3
8,3
9,3
12,4
13,5
14,5
15,4
16,3
17,4
18,4
19,3
20,3
21,3
22,4
23,4
24,4
25,4
26,2
27,3
28,4
29,4
30,3
31,5
32,4
34,3
35,3
37,3
38,4
39,3
40,2
41,2
42,3
43,4
44,2
45,4
46,4
47,5
48,5
49,3
50,5
51,2
52,3
53,5
54,5
55,4
56,5
57,4
58,4
59,1
60,3
61,3
62,3
63,3
64,3
65,3
66,3
67,5
68,4
69,2
71,4
72,3
73,2
74,5
75,3
76,3
77,4
78,3
79,5
80,4
81,4
83,2
84,3
85,3
86,3
88,3
89,4
90,3
91,5
92,4
93,3
94,4
95,3
96,5
97,5
98,4
99,5
102,5
107,3
112,3
113,5
115,4
116,4
117,4
119,4
122,3
123,3
124,4
125,3
126,4
127,5
128,5
129,4
130,4
133,3
134,4
135,4
136,4
137,3
138,3
140,3
141,3
142,1
143,3
144,4
145,4
147,3
149,2
150,3
152,4
153,3
154,3
156,3
159,3
160,3
163,3
164,5
167,4
168,5
169,4
170,3
171,3
172,4
173,2
174,2
175,4
177,4
178,5
179,4
180,3
181,2
182,3
186,3
189,5
191,4
193,3
194,4
195,3
196,3
197,3
198,3
199,2
200,5
201,4
203,4
205,2
206,3
207,2
208,4
209,4
210,5
211,4
212,5
213,5
215,4
216,4
217,4
219,3
220,3
221,4
222,3
225,5
227,4
229,4
230,3
232,5
233,4
236,3
237,4
238,3
239,4
241,3
243,3
244,3
245,3
246,3
248,4
249,5
250,4
252,3
253,3
254,3
255,3
256,3
258,4
260,3
261,3
262,3
263,5
264,5
265,5
266,3
267,4
268,4
269,3
270,4
271,4
272,2
273,2
274,5
275,4
276,3
277,3
278,4
279,5
281,5
282,4
285,4
286,3
288,3
289,4
290,5
291,4
292,4
293,3
294,4
295,4
296,1
297,2
299,4
300,4
301,3
302,1
303,4
304,4
305,4
306,3
307,5
308,5
310,4
312,1
314,4
315,5
316,3
318,4
319,4
321,4
322,3
323,1
324,3
326,4
327,5
328,2
329,3
330,5
331,4
332,3
333,5
334,3
335,3
336,3
337,3
339,4
340,3
341,2
342,5
343,3
344,2
345,3
347,4
348,4
349,4
350,3
351,4
352,2
353,2
354,4
355,4
356,4
358,3
359,5
360,5
361,2
362,5
364,3
365,5
366,4
368,4
369,4
370,4
371,3
372,3
376,5
377,3
378,4
379,4
381,4
384,4
385,2
386,5
387,3
388,4
390,4
392,1
393,3
397,4
398,2
399,3
400,4
402,3
403,4
404,4
405,3
406,3
407,2
411,4
412,4
414,5
415,4
416,3
417,3
419,4
420,3
421,2
422,2
423,2
424,5
425,2
426,3
427,3
428,4
429,3
430,3
431,3
432,5
433,3
434,3
435,3
437,4
438,3
439,3
440,2
442,4
443,3
444,3
445,1
446,2
447,2
448,3
450,3
451,4
452,3
453,4
454,3
455,4
457,4
458,5
459,5
460,4
461,3
462,3
464,1
465,4
466,4
468,3
469,3
470,4
471,3
472,3
473,2
474,3
475,3
476,3
477,4
479,3
481,3
483,3
484,5
485,2
486,2
487,3
488,4
490,5
491,4
493,5
494,3
495,3
497,4
499,3
500,4
501,5
505,2
507,4
508,4
509,4
510,3
511,3
512,3
513,4
514,4
516,5
517,3
518,4
519,5
520,3
522,4
523,4
525,2
526,4
527,5
529,3
530,3
531,3
532,2
533,4
534,3
536,3
537,3
538,3
539,4
540,4
541,4
542,5
543,3
544,3
545,5
546,3
547,3
549,4
550,3
552,4
553,4
554,4
555,3
556,2
557,3
559,3
560,3
561,3
564,3
565,3
566,4
567,5
568,2
569,2
570,4
571,3
573,2
574,3
575,3
577,4
578,5
579,4
580,4
581,3
583,3
584,5
585,3
586,3
587,3
588,3
590,5
591,4
593,3
594,3
595,4
596,3
597,3
598,1
599,5
601,2
602,4
604,4
605,3
606,4
607,4
608,5
609,3
611,5
612,5
613,4
614,3
617,3
619,3
620,4
621,4
622,5
624,4
625,5
626,5
627,3
629,4
630,2
631,4
632,4
635,3
637,2
640,4
642,2
643,1
644,5
646,5
647,3
648,4
649,3
650,4
651,4
652,3
653,3
654,3
655,2
656,4
657,5
658,3
659,4
660,5
661,4
662,4
663,4
664,3
665,4
666,4
668,3
669,4
670,2
671,3
673,3
674,4
675,4
676,3
677,4
680,4
681,3
682,4
683,4
684,3
685,4
686,3
688,3
689,2
690,2
691,4
692,2
693,4
694,2
696,2
698,4
699,5
700,3
702,4
703,5
704,3
705,3
706,4
707,3
708,4
709,3
711,4
712,3
713,3
714,4
715,2
716,3
717,4
718,4
719,3
720,4
721,1
723,3
724,3
725,4
727,4
728,3
729,4
730,3
731,2
732,3
733,2
734,4
735,3
736,3
737,3
738,4
739,4
740,4
742,4
743,5
745,5
746,3
747,4
748,3
749,3
750,5
751,3
752,4
753,2
754,4
756,5
757,4
759,4
760,2
761,4
762,3
763,4
764,4
765,4
766,3
767,3
771,4
772,5
773,2
774,5
776,5
778,3
779,4
780,5
781,4
783,4
785,3
786,4
787,4
788,4
789,3
790,4
791,2
793,3
794,3
795,3
797,3
798,2
